ADMIN_IDX,ATTEND_STATUS,REG_DATE
18,NA,24-03-28 8:46
18,NL,24-03-28 18:13
18,NA,24-03-29 8:44
18,NL,24-03-29 18:04
18,NA,24-04-01 8:59
18,NL,24-04-01 18:03
18,NA,24-04-02 8:50
18,OT,24-04-02 12:11
18,RT,24-04-02 13:11
18,NL,24-04-02 18:05
18,NA,24-04-03 8:38
18,EL,24-04-03 17:58
18,LA,24-04-04 9:27
18,NL,24-04-04 18:12
18,NA,24-04-05 8:45
18,LL,24-04-05 19:21
18,LA,24-04-08 9:02
18,NL,24-04-08 18:27
18,NA,24-04-09 8:48
18,NL,24-04-09 18:04
18,NA,24-04-10 8:40
18,OT,24-04-10 13:03
18,RT,24-04-10 14:31
18,EL,24-04-10 15:01
18,LA,24-04-11 9:09
18,NL,24-04-11 18:12
18,NA,24-04-12 8:36
18,LL,24-04-12 19:50
18,NA,24-04-15 8:36
18,NL,24-04-15 18:01
18,NA,24-04-16 8:36
18,NL,24-04-16 18:11
18,NA,24-04-17 8:31
18,NL,24-04-17 18:23
18,NA,24-04-18 8:42
18,NL,24-04-18 18:11
18,LA,24-04-19 9:16
18,EL,24-04-19 17:39
18,NA,24-04-22 8:31
18,OT,24-04-22 11:12
18,EL,24-04-22 12:12
18,NA,24-04-23 8:34
18,NL,24-04-23 18:14
18,NA,24-04-24 8:42
18,NL,24-04-24 18:24
18,NA,24-04-25 8:30
18,NL,24-04-25 18:21
18,NA,24-04-26 8:49
18,NL,24-04-26 18:29
18,NA,24-04-29 8:54
18,NL,24-04-29 18:07
18,NA,24-04-30 8:32
18,NL,24-04-30 18:16
18,VC,24-05-01 18:00
18,NA,24-05-02 8:48
18,NL,24-05-02 18:25
18,NA,24-05-03 8:33
18,LL,24-05-03 19:58
18,NA,24-05-06 8:45
18,NL,24-05-06 18:23
18,NA,24-05-07 8:49
18,LL,24-05-07 20:15
18,NA,24-05-08 8:39
18,NL,24-05-08 18:21
18,NA,24-05-09 8:47
18,NL,24-05-09 18:01
18,NA,24-05-10 8:40
18,OT,24-05-10 14:23
18,EL,24-05-10 16:23
18,NA,24-05-13 8:56
18,EL,24-05-13 15:09
18,LA,24-05-14 9:01
18,NL,24-05-14 18:07
18,NA,24-05-15 8:59
18,NL,24-05-15 18:27
18,NA,24-05-16 8:47
18,NL,24-05-16 18:12
18,NA,24-05-17 8:31
18,NL,24-05-17 18:29
18,LA,24-05-20 9:13
18,NL,24-05-20 18:26
18,NA,24-05-21 8:53
18,NL,24-05-21 18:13
18,LA,24-05-22 9:11
18,NL,24-05-22 18:08
18,NA,24-05-23 8:37
18,NL,24-05-23 18:02
18,NA,24-05-24 8:44
18,LL,24-05-24 20:05
18,NA,24-05-27 8:31
18,NL,24-05-27 18:19
18,NA,24-05-28 8:36
18,NL,24-05-28 18:27
18,NA,24-05-29 8:52
18,NL,24-05-29 18:00
18,LA,24-05-30 9:12
18,NL,24-05-30 18:21
18,NA,24-05-31 8:36
18,NL,24-05-31 18:22
18,NA,24-06-03 8:46
18,NL,24-06-03 18:27
18,LA,24-06-04 9:28
18,NL,24-06-04 18:27
18,LA,24-06-05 9:28
18,NL,24-06-05 18:02
18,LA,24-06-06 9:09
18,NL,24-06-06 18:00
18,NA,24-06-07 8:58
18,EL,24-06-07 15:47
18,NA,24-06-10 8:32
18,NL,24-06-10 18:28
18,VC,24-06-11 18:00
18,NA,24-06-12 8:47
18,NL,24-06-12 18:04
18,NA,24-06-13 8:32
18,NL,24-06-13 18:22
18,NA,24-06-14 8:40
18,OT,24-06-14 14:16
18,RT,24-06-14 15:47
18,NL,24-06-14 18:12
18,LA,24-06-17 9:13
18,NL,24-06-17 18:28
18,NA,24-06-18 8:49
18,NL,24-06-18 18:25
18,NA,24-06-19 8:48
18,NL,24-06-19 18:23
18,LA,24-06-20 9:02
18,EL,24-06-20 16:31
18,LA,24-06-21 9:15
18,NL,24-06-21 18:25
18,NA,24-06-24 8:33
18,NL,24-06-24 18:00
18,NA,24-06-25 8:38
18,NL,24-06-25 18:08
18,LA,24-06-26 9:04
18,NL,24-06-26 18:24
18,NA,24-06-27 8:56
18,NL,24-06-27 18:23
18,NA,24-06-28 8:48
18,NL,24-06-28 18:16
18,NA,24-07-01 8:40
18,NL,24-07-01 18:16
18,NA,24-07-02 8:31
18,NL,24-07-02 18:29
18,NA,24-07-03 8:57
18,NL,24-07-03 18:11
18,NA,24-07-04 8:36
18,NL,24-07-04 18:01
18,NA,24-07-05 8:47
18,NL,24-07-05 18:02
18,NA,24-07-08 8:56
18,NL,24-07-08 18:00
18,NA,24-07-09 8:44
18,NL,24-07-09 18:13
18,NA,24-07-10 8:47
18,NL,24-07-10 18:16
18,NA,24-07-11 8:30
18,NL,24-07-11 18:27
18,LA,24-07-12 9:02
18,NL,24-07-12 18:25
18,NA,24-07-15 8:36
18,NL,24-07-15 18:14
18,NA,24-07-16 8:58
18,NL,24-07-16 18:22
18,NA,24-07-17 8:38
18,NL,24-07-17 18:05
18,NA,24-07-18 8:52
18,LL,24-07-18 19:32
18,NA,24-07-19 8:51
18,NL,24-07-19 18:12
18,NA,24-07-22 8:50
18,LL,24-07-22 20:02
18,NA,24-07-23 8:37
18,LL,24-07-23 19:17
18,NA,24-07-24 8:31
18,NL,24-07-24 18:27
18,NA,24-07-25 8:54
18,NL,24-07-25 18:15
18,LA,24-07-26 9:17
18,NL,24-07-26 18:22
18,NA,24-07-29 8:51
18,LL,24-07-29 20:13
18,NA,24-07-30 8:59
18,NL,24-07-30 18:10
18,NA,24-07-31 8:57
18,NL,24-07-31 18:00
18,NA,24-08-01 8:57
18,NL,24-08-01 18:16
18,NA,24-08-02 8:32
18,NL,24-08-02 18:18
18,LA,24-08-05 9:17
18,NL,24-08-05 18:15
18,NA,24-08-06 8:59
18,NL,24-08-06 18:14
18,NA,24-08-07 8:42
18,NL,24-08-07 18:04
18,NA,24-08-08 8:41
18,NL,24-08-08 18:15
18,LA,24-08-09 9:04
18,NL,24-08-09 18:02
18,NA,24-08-12 8:30
18,NL,24-08-12 18:22
18,NA,24-08-13 8:46
18,NL,24-08-13 18:03
18,NA,24-08-14 8:45
18,NL,24-08-14 18:10
18,NA,24-08-16 8:38
18,NL,24-08-16 18:28
18,NA,24-08-19 8:45
18,NL,24-08-19 18:25
18,NA,24-08-20 8:44
18,NL,24-08-20 18:19
18,NA,24-08-21 8:46
18,NL,24-08-21 18:19
18,NA,24-08-22 8:35
18,NL,24-08-22 18:01
18,NA,24-08-23 8:41
18,NL,24-08-23 18:12
18,NA,24-08-26 8:48
18,NL,24-08-26 18:09
18,NA,24-08-27 8:35
18,LL,24-08-27 19:53
18,NA,24-08-28 8:37
18,NL,24-08-28 18:26
18,NA,24-08-29 8:52
18,NL,24-08-29 18:19
18,NA,24-08-30 8:38
18,NL,24-08-30 18:09
18,NA,24-09-02 8:41
18,NL,24-09-02 18:25
18,LA,24-09-03 9:05
18,NL,24-09-03 18:24
18,NA,24-09-04 8:45
18,NL,24-09-04 18:03
18,NA,24-09-05 8:54
18,NL,24-09-05 18:18
18,NA,24-09-06 8:30
18,LL,24-09-06 19:59
18,NA,24-09-09 8:57
18,OT,24-09-09 11:33
18,EL,24-09-09 12:33
18,NA,24-09-10 8:44
18,NL,24-09-10 18:02
18,NA,24-09-11 8:30
18,NL,24-09-11 18:20
18,NA,24-09-12 8:35
18,NL,24-09-12 18:25
18,NA,24-09-13 8:51
18,NL,24-09-13 18:20
18,LA,24-09-16 9:22
18,EL,24-09-16 17:55
18,NA,24-09-17 8:41
18,EL,24-09-17 16:13
18,NA,24-09-18 8:41
18,NL,24-09-18 18:07
18,NA,24-09-19 8:35
18,LL,24-09-19 19:05
18,NA,24-09-20 8:59
18,LL,24-09-20 20:24
18,NA,24-09-23 8:44
18,NL,24-09-23 18:03
18,NA,24-09-24 8:58
18,NL,24-09-24 18:11
18,NA,24-09-25 8:51
18,NL,24-09-25 18:26
18,NA,24-09-26 8:51
18,NL,24-09-26 18:06
18,NA,24-09-27 8:40
18,NL,24-09-27 18:17
18,NA,24-09-30 8:39
18,NL,24-09-30 18:26
18,LA,24-10-01 9:14
18,NL,24-10-01 18:29
18,NA,24-10-02 8:50
18,NL,24-10-02 18:04
18,LA,24-10-04 9:24
18,NL,24-10-04 18:21
18,LA,24-10-07 9:29
18,NL,24-10-07 18:04
18,LA,24-10-08 9:29
18,NL,24-10-08 18:29
18,NA,24-10-09 8:37
18,NL,24-10-09 18:12
18,NA,24-10-10 8:44
18,NL,24-10-10 18:21
18,NA,24-10-11 8:34
18,NL,24-10-11 18:21
18,NA,24-10-14 8:50
18,NL,24-10-14 18:05
18,NA,24-10-15 8:45
18,NL,24-10-15 18:14
18,NA,24-10-16 8:51
18,NL,24-10-16 18:00
18,NA,24-10-17 8:31
18,NL,24-10-17 18:01
18,NA,24-10-18 8:48
18,NL,24-10-18 18:07
18,VC,24-10-21 18:00
18,NA,24-10-22 8:33
18,NL,24-10-22 18:11
18,NA,24-10-23 8:48
18,NL,24-10-23 18:11
18,NA,24-10-24 8:52
18,NL,24-10-24 18:23
18,NA,24-10-25 8:53
18,NL,24-10-25 18:17
18,NA,24-10-28 8:35
18,LL,24-10-28 19:29
18,LA,24-10-29 9:23
18,NL,24-10-29 18:18
18,NA,24-10-30 8:59
18,EL,24-10-30 17:36
18,LA,24-10-31 9:20
18,LL,24-10-31 19:52
18,AB,24-11-01 18:00
18,NA,24-11-04 8:53
18,NL,24-11-04 18:05
18,NA,24-11-05 8:46
18,NL,24-11-05 18:03
18,NA,24-11-06 8:37
18,NL,24-11-06 18:03
18,VC,24-11-07 18:00
18,LA,24-11-08 9:12
18,NL,24-11-08 18:17
18,NA,24-11-11 8:33
18,NL,24-11-11 18:20
18,VC,24-11-12 18:00
18,NA,24-11-13 8:57
18,LL,24-11-13 20:26
18,LA,24-11-14 9:03
18,LL,24-11-14 20:09
18,NA,24-11-15 8:43
18,NL,24-11-15 18:26
18,NA,24-11-18 8:47
18,NL,24-11-18 18:08
18,NA,24-11-19 8:30
18,NL,24-11-19 18:21
18,NA,24-11-20 8:54
18,NL,24-11-20 18:02
18,NA,24-11-21 8:37
18,NL,24-11-21 18:20
18,NA,24-11-22 8:56
18,NL,24-11-22 18:01
18,NA,24-11-25 8:33
18,NL,24-11-25 18:18
18,NA,24-11-26 8:45
18,NL,24-11-26 18:00
18,NA,24-11-27 8:58
18,NL,24-11-27 18:24
18,NA,24-11-28 8:47
18,EL,24-11-28 15:08
18,LA,24-11-29 9:23
18,NL,24-11-29 18:15
18,NA,24-12-02 8:45
18,NL,24-12-02 18:08
18,VC,24-12-03 18:00
18,NA,24-12-04 8:50
18,NL,24-12-04 18:26
18,NA,24-12-05 8:41
18,NL,24-12-05 18:03
18,NA,24-12-06 8:38
18,NL,24-12-06 18:01
18,NA,24-12-09 8:32
18,NL,24-12-09 18:12
18,NA,24-12-10 8:33
18,NL,24-12-10 18:01
18,NA,24-12-11 8:59
18,NL,24-12-11 18:18
18,NA,24-12-12 8:48
18,NL,24-12-12 18:00
18,NA,24-12-13 8:51
18,NL,24-12-13 18:15
18,NA,24-12-16 8:33
18,NL,24-12-16 18:08
18,LA,24-12-17 9:07
18,NL,24-12-17 18:14
18,NA,24-12-18 8:34
18,NL,24-12-18 18:04
18,NA,24-12-19 8:54
18,NL,24-12-19 18:02
18,NA,24-12-20 8:30
18,NL,24-12-20 18:22
18,NA,24-12-23 8:41
18,NL,24-12-23 18:05
18,NA,24-12-24 8:48
18,NL,24-12-24 18:06
18,NA,24-12-26 8:47
18,NL,24-12-26 18:02
18,NA,24-12-27 8:57
18,LL,24-12-27 19:51
18,NA,24-12-30 8:32
18,LL,24-12-30 19:12
18,NA,24-12-31 8:37
18,NL,24-12-31 18:29
